id,title,type,releaseyear,agecertification,runtime,productioncountries,seasons,imdbid,imdbscore,imdbvotes
MD5677847,Genova Summer in Genoa A,MOVIE,1992,R,152,JP,,6906343726,3.6,695
BI0848024,Human Lanterns Ren pi deng long,SHOW,2005,TV-PG,163,IR,4,5815039012,9.1,9514
BL5415148,Burglar,MOVIE,2003,PG-13,65,SD,,4813116477,6.9,66775
SH4000780,Korengal,SHOW,2000,TV-Y,151,US,24,7596551823,7.2,945
VG5520089,Mummy The,MOVIE,2021,PG,110,SC,,9375719774,4.7,2680
VS4820103,Bring on the Night,MOVIE,2001,R,187,US,,8657866722,6.3,8
AH3335244,Bartleby,SHOW,2019,TV-G,135,US,5,7525219710,9.5,78747
HD2446071,Caiman The Il caimano,MOVIE,1968,R,72,CA,,4248839121,9.9,6
NM4151355,Canterville Ghost The,MOVIE,2012,R,168,AR,,2731490373,0.1,342
OE9902935,Adventures of Robin Hood The,MOVIE,1981,R,68,US,,8046039934,9,5924
ED8686235,Far Horizons The,SHOW,1963,TV-G,198,US,39,8436077334,2.4,49202
BH7470119,Castaway,SHOW,1985,TV-PG,92,TD,4,8507438237,6.6,7
YQ8094509,Kiss Me Deadly,SHOW,2021,TV-Y,192,US,13,5232370154,5.3,204
VR0455160,Hands Across the Table,SHOW,2003,TV-Y,95,US,10,997189452,6.7,95
YQ1840761,Lilies of the Field,MOVIE,2018,,75,CA,,769447368,4.8,98570
RG4286749,Wing and a Prayer,MOVIE,1993,,166,CN,,3881639993,1,80
QF3630874,Pier The JetA Ce La,MOVIE,2010,R,142,BZ,,3973248613,0.8,0
DU6741728,Horse Rebellion The Pulakapina,MOVIE,1970,,186,SB,,9709392271,1,27
TI2943818,Shrek the Halls,MOVIE,1982,R,81,JP,,3131988371,3,10075
LF0215506,Mission The Cheung fo,MOVIE,1993,,179,TH,,1131574052,8.1,520
FZ9013233,Accused Anklaget,MOVIE,2020,,189,US,,6135732838,2.9,4
HN1469750,JosA C and Pilar JosA C e Pilar,MOVIE,1984,,93,BR,,2678336743,8.2,5242
ER7770978,Catlow,MOVIE,1991,,147,AU,,4186232377,3.1,24
WP5843113,Man of the Year The O Homem do Ano,MOVIE,2006,,72,TW,,1797633317,2.8,4
OG3170672,Hangover The,MOVIE,1969,,123,MH,,3641067715,6,2646
VU0007655,Adventureland,MOVIE,2011,,84,AR,,4761468033,5.7,5478
NQ1528059,Greedy,MOVIE,2001,,131,US,,4495225855,6.8,902
PD0727567,America Before Columbus,MOVIE,2021,,140,CV,,4142093916,2.7,6
RA0036445,One Chance,MOVIE,1998,,135,ET,,2371687812,0.8,17
MP7101586,Orphans of the Storm,MOVIE,2014,,94,PG,,1117720926,5.5,41721
CA3961758,Starship Troopers,MOVIE,1988,,63,DE,,2620471664,2.6,9
IF0186435,Sex Up Your Life,MOVIE,1998,,151,NP,,3494116172,9.1,687
IC6565932,Rich in Love,MOVIE,1984,,175,US,,5876635820,8.5,3
VR8956394,Black Ice Musta j A A,MOVIE,1994,,140,US,,6326380626,1.8,8
KB5046598,Day He Arrives The Book chon bang hyang,MOVIE,1991,,107,SS,,6559571610,3.1,7
AK9716631,Sarah Silverman Jesus Is Magic,MOVIE,1992,,172,ZA,,1625411561,6.3,850
MP6179699,Original Gangstas,MOVIE,2021,,60,AR,,3016553775,0.8,81
HW6859412,Encino Man,MOVIE,1966,,167,NO,,8293891440,9.1,0
RU7765436,Dumplings Gaau ji,MOVIE,1977,,188,CN,,6736044049,9.6,56040
DH6103416,Return to Homs The,MOVIE,1999,,129,HR,,5122994102,9.7,3
JC5809566,Undead,MOVIE,1966,,199,AR,,7157298643,2,97
CT7866673,In Your Hands,MOVIE,1989,,168,RU,,1696417260,3.7,299
HP7459489,Wind Chill,MOVIE,2004,R,198,CA,,2888287625,4.5,6644
WO5905697,A Night for Dying Tigers,MOVIE,2021,,107,CA,,5925436148,1.8,80
OZ8382284,Jackass 3.5,SHOW,2001,TV-PG,89,PG,1,3734252776,1.1,8
UV2882086,Tongan Ninja,MOVIE,2015,,163,CN,,4689807469,7.3,9295
CX7090167,Corruption a.k.a. Carnage,MOVIE,2002,,69,US,,3401375008,7.7,591
AF1743068,Replicant,MOVIE,2020,,108,US,,6714738250,7.9,85
XQ2737809,Al Capone,MOVIE,2019,,67,CI,,9963154840,4.4,2
LF0136605,Straight Talk,MOVIE,2020,,188,KR,,5078702245,7.8,37718
GS1297477,P.U.N.K.S,MOVIE,2013,R,145,GR,,6759869192,6.6,49154
DU9025431,Anna,SHOW,1971,TV-PG,87,US,42,4532456673,2.9,6
YT9611498,This Is England,SHOW,1989,TV-PG,168,PG,10,4166558870,2.2,36832
BU2134513,Benji,SHOW,1965,TV-Y7,128,PH,24,4442634815,9,57
OX9594408,Criminal Law,MOVIE,2015,PG-13,160,MH,,7799091053,6.7,92218
ZF8212116,Blackballed The Bobby Dukes Story,MOVIE,1996,PG-13,64,AU,,6415392328,7.9,5
OR1709359,Blood The Last Vampire,SHOW,1964,TV-14,198,ET,21,3257520468,5.2,60
CF2093076,Gunfight at the O.K. Corral,MOVIE,1984,R,184,CA,,2504523165,9.3,4221
OH6924988,700 Sundays,SHOW,2007,TV-14,132,DE,1,9966422706,7.2,99903
RW6758484,Hey Hey It s Esther Blueburger,SHOW,2020,TV-PG,94,MH,7,426393821,7.5,52
NS6811552,Tender Comrade,SHOW,1976,TV-14,151,IN,37,2986682162,5.8,7
WK2493924,Million Dollar Duck The a.k.a. S1 000 000 Duck,MOVIE,1988,PG-13,133,GY,,467252629,9.7,13
TA8423597,Far Out Isn t Far Enough The Tomi Ungerer Story,SHOW,1988,TV-14,171,US,8,1367780225,0.8,9
UW0984817,Remote Control,MOVIE,1978,R,116,US,,724124462,0.7,805
MR5918405,Echoes of the Rainbow Sui yuet san tau,MOVIE,2009,PG,186,AU,,830551360,1.8,3
OJ5334065,Paradise Road,MOVIE,2009,R,74,DE,,2603768298,4.7,7081
QN4240366,All the Vermeers in New York,SHOW,1981,TV-14,61,OM,1,7117018569,2.7,798
HA5356022,Merlin s Apprentice,SHOW,2015,TV-Y,145,AR,4,3165901759,0.1,151
VF1710854,Ghosts... of the Civil Dead,MOVIE,1967,R,109,HN,,1918977216,3.6,2
WM2564667,Cowboy Bebop,SHOW,1998,TV-Y7,98,US,29,5546832983,9,20
TR1757541,Like Minds Murderous Intent,MOVIE,1966,PG-13,145,SA,,710703163,0.4,752
FV4317400,Guy and a Gal A En kille och en tjej,SHOW,1987,TV-Y7,98,BR,4,2389587402,9.3,70565
MH6121091,Regular Guys Echte Kerle,MOVIE,2014,R,72,US,,3747722725,6.1,938
UG6817525,Funeral The Ososhiki,MOVIE,2002,PG-13,169,EG,,7431604912,5.5,2
EK4936634,Boricua s Bond,MOVIE,1999,PG-13,152,TH,,6617764447,6.8,7
ZA1200325,Mirage,MOVIE,1996,,132,CG,,409853305,3.8,8
RG3418252,Undertaking Betty Plots with a View,MOVIE,2009,PG,191,AO,,6744772600,6.7,5653
TU9505314,Alexander and the Terrible Horrible No Good Very Bad Day,MOVIE,2001,R,100,MH,,8045869747,9.3,9
HT3510807,Gunner Palace,SHOW,2016,TV-PG,79,JP,4,4688550960,4.9,10
ED6532689,Take Care of Your Scarf Tatiana Pid A huivista kiinni Tatjana,SHOW,1990,TV-Y,132,US,7,6068809684,1.8,38
WS2850587,Era of Vampires The,SHOW,1973,TV-14,176,AU,9,6016908665,5,2470
XE4919174,Mifune s Last Song Mifunes sidste sang,MOVIE,2021,R,72,AU,,8351156787,9.5,3
JI7710548,SheDevil,MOVIE,2007,R,74,AO,,7970014305,7.7,674
ER8594473,I Want to Live,MOVIE,2015,R,97,US,,4723168958,5.6,46866
TU1730827,Project A A gai waak,MOVIE,2019,PG-13,108,US,,3647858986,3.7,25
LS8737221,Period of Adjustment,MOVIE,1986,R,133,NZ,,9452839392,4.4,22
QS3138829,Creation of the Humanoids The,MOVIE,2013,R,80,ID,,8903629388,4.9,153
TD5035109,Bitter Sweet,MOVIE,1965,PG,170,PG,,9510417246,9.3,4018
AL7589412,Lips of Blood L Avres de sang,SHOW,1978,TV-G,191,CA,12,2870573383,3.9,24765
PM7227656,Dark Shadows,MOVIE,1965,PG,154,RU,,5219935135,7.1,3
CP4356118,Smoke on the Potato Fields DAm bramborovA C nate,MOVIE,2022,R,186,SX,,3688635825,7.8,155
OG3981619,Wolves,MOVIE,1965,PG-13,183,GA,,1485028639,5.3,87
IG9371568,Pig Hunt ,MOVIE,1987,R,146,CN,,7358714067,3.7,592
WC9623473,Better Off Dead...,MOVIE,1988,PG,141,CN,,9822510764,1.6,417
NF3915224,Tracy Morgan Black and Blue,MOVIE,1969,PG-13,195,JP,,5972563746,3.8,592
UQ9158476,Relax... It s Just Sex,MOVIE,1968,PG,88,PG,,7662548449,1.5,4
UM1808982,Eiger Sanction The,MOVIE,1998,R,117,US,,3451629674,5.7,1
PJ8721734,Stranger Than Paradise,MOVIE,1969,R,70,US,,9846259743,8.5,7501
YF9102484,Incendiary,MOVIE,2011,PG,121,DE,,7385825672,3.8,53
PX8774131,Elektra,SHOW,1982,TV-G,93,PG,14,3191902260,3,2754
AP4612582,Knife in the Water NAz w wodzie,MOVIE,2007,R,164,AR,,6395769723,9,33
JD3379318,ScoobyDoo and the Witch s Ghost,MOVIE,2011,PG-13,93,BR,,5470357910,5.2,89979
KC6510486,Her,MOVIE,1992,,66,US,,2372552880,4,385
YE7059251,Wake Up Ron Burgundy,MOVIE,1962,PG,92,US,,1337790656,4.4,65
AY9053819,The Confessions of Bernhard Goetz,MOVIE,2015,PG-13,161,CA,,654953627,0.1,35533
YM3366942,Breakin,MOVIE,2002,R,171,CA,,9798209788,6.5,40214
LJ0876443,List of Adrian Messenger The,MOVIE,1973,R,102,ID,,2529977348,3.5,68806
ID9103128,Thirty Day Princess,MOVIE,1965,PG,102,IL,,7984404550,1.9,83765
CO9483997,Life Is Hot in Cracktown,MOVIE,1979,R,200,RO,,5566797733,2.5,5215
IO4346432,Berlin Babylon,MOVIE,2000,PG,118,US,,70278377,2.2,9
EF5391939,Feuer Eis Dosenbier,MOVIE,1981,R,195,AU,,2703054173,0.2,79
UJ4730149,Shrek,MOVIE,1970,R,121,MG,,3897735113,0.1,166
NM6497789,Letting Go of God,MOVIE,2019,R,149,MX,,7105810564,7.9,50518
WY0593018,Creature,SHOW,1967,TV-PG,173,US,6,8298868803,9.1,59677
UY6241284,Stella Live in Boston,SHOW,2011,TV-PG,75,LA,6,9086350003,2.3,13
RM3964747,Black Water,SHOW,2016,TV-Y7,62,KP,4,4241794335,3.8,55
RJ9520680,Classe amA Cricaine La a.k.a. Le grand dA Ctournement,MOVIE,1985,PG-13,139,CA,,6123696866,7.4,777
UM4251436,Battleship,MOVIE,2010,PG-13,183,IR,,8298857372,4.7,832
AF8778842,Arthur Newman,SHOW,1962,TV-PG,106,US,8,2773230582,8.2,96618
KS4019178,Colonel Redl Oberst Redl,MOVIE,2006,NC-17,176,US,,1266963596,6.9,8
SM2596850,I Am Comic,MOVIE,1989,G,160,CN,,5730848471,5.1,583
OT5651167,Buying the Cow,MOVIE,1989,PG-13,100,US,,6321789062,1.1,11
PG2638649,Cambridge Spies,SHOW,1995,TV-PG,82,AR,5,4849713564,3.5,62
AN9348883,When I Walk,MOVIE,1971,R,155,AU,,2021649229,6.8,8436
FC3605824,Brothers at War,MOVIE,1978,,93,FR,,6532818631,9.4,9090
BG5534817,House of 1000 Corpses,MOVIE,2003,,73,CD,,6548295358,2.8,7
RI9092952,Captivated,MOVIE,1963,,86,US,,2473152683,4.6,9
XE0839147,Beauty and the Beast,SHOW,1972,TV-G,153,KH,8,5545258337,9,7
SE4648203,Trial of the Road Checkup on the Roads Checkpoint Proverka na dorogakh,MOVIE,1965,G,158,ZA,,6110942804,8,7210
LP1330220,Blackbeard s Ghost,MOVIE,2006,,105,LR,,3032927358,3,24890
FK7092168,Conception,MOVIE,2013,R,191,AU,,8587582267,2.1,8855
NW7579830,Game Over,MOVIE,2000,G,100,US,,8422408937,5.1,29
NW8915629,Some Mother s Son,SHOW,2020,TV-Y7,167,MM,7,303143312,1.7,96
KW5234159,Nightmaster Watch the Shadows Dance,SHOW,1963,TV-MA,165,AU,4,1760608777,2.3,673
ZQ4808274,Last Witness The,MOVIE,1979,R,176,AU,,8885268900,7.3,9225
VM5336090,Surf s Up,MOVIE,1989,PG,160,VE,,7268332270,6.3,46125
UD8348770,Gulliver s Travels,SHOW,1981,TV-MA,105,RU,7,2424869553,3,83
QJ2654825,Midnight in Paris,MOVIE,2000,PG-13,165,DZ,,9414043012,0.9,49
PG1977735,Alcina,SHOW,2020,TV-MA,109,AR,1,7153111980,6.5,55388
YG7056212,Wedding Daze,MOVIE,2002,,69,TR,,226032973,6.2,0
WS3695245,Cremator The Spalovac mrtvol,MOVIE,1970,,195,GB,,5313951793,2.6,61
CP3043652,Love Is the Devil,MOVIE,2018,G,116,FJ,,2292769743,0.8,6200
XC5921870,Dead Meat,MOVIE,1995,,67,ZA,,4020829454,6.8,10
YB6511969,Looking for Comedy in the Muslim World,MOVIE,1970,PG-13,180,US,,9015112355,3.3,61
ZS0428678,99 and 44100 Dead,MOVIE,2004,G,145,TW,,2448459010,2.7,62
VJ3768062,Biker Boyz,MOVIE,1991,,82,ZA,,2623988374,0.8,389
MN8832772,Each Dawn I Die,MOVIE,2004,,185,ID,,519108957,1.1,0
HZ9983605,Tale of Zatoichi Continues The Zoku Zat Aichi monogatari Zat Aichi 2,MOVIE,1960,G,132,US,,9664359459,9.3,87
DP3606838,Enron The Smartest Guys in the Room,MOVIE,2004,,109,ES,,3128376174,1.5,7
OC3189431,Jackpot,SHOW,1964,TV-MA,116,NO,1,2318974586,0.2,4672
UY2147605,Hucksters The,MOVIE,2014,G,150,US,,2421681545,2.4,895
FK5167710,Gate II Trespassers The,MOVIE,2005,G,150,CA,,6544319775,9.6,7666
BL4829196,Celluloid Closet The,MOVIE,1968,,147,MX,,5663097627,2.4,12251
NE9101851,Just Ask My Children,MOVIE,2000,PG-13,145,PG,,4397063540,5.8,5411
PT5855484,Man s Best Friend,MOVIE,1968,,81,US,,169060454,2.9,14
MK1081852,Cruel Intentions 2 Cruel Intentions 2 Manchester Prep,MOVIE,1991,,61,PF,,6868193718,2.8,119
US7282641,Something s Gonna Live,MOVIE,1995,G,62,AU,,1547755342,9.6,36362
GW9548038,Million Dollar Baby,MOVIE,1969,,198,MG,,3210662541,9.9,403
YV2002472,Pecker,MOVIE,2002,PG-13,112,NP,,3021813461,3.9,8845
TB1146167,Happiness Is a Warm Blanket Charlie Brown,MOVIE,2014,,108,ID,,4848559979,9.5,184
BP5266436,They Call Me Bruce? a.k.a. A Fistful of Chopsticks,MOVIE,1967,PG,85,CN,,8243350209,9.3,9
RX8391977,Jewel of the Nile The,MOVIE,1984,,94,ID,,9714714613,0.8,2194
OU7311918,Last Man The,MOVIE,1989,,75,EG,,5878150913,4,830
OV0218085,Forsyte Saga The,MOVIE,1961,PG,159,PG,,6918623192,8.4,8870
AJ9228681,Descent,MOVIE,2002,,69,RU,,4865347739,0.4,939
WT3651040,Bastards Les salauds,MOVIE,1986,,174,US,,6959931827,1.4,3746
BR9694284,Table No.21,MOVIE,2018,,98,TM,,8321441467,5.6,37563
PX0677939,Master The,MOVIE,1965,,71,SB,,6368982322,5.3,3
XJ5591334,Rurouni Kenshin Rur Ani Kenshin Meiji kenkaku roman tan,MOVIE,1968,PG-13,81,SD,,7936297308,9.7,5725
AS3505943,Face in the Crowd A,MOVIE,2014,,165,US,,8935395056,5.8,4354
MR5881259,Star Trek III The Search for Spock,MOVIE,2001,,85,US,,2144728720,4.3,16
ZT9589585,Kiss Me Goodbye,MOVIE,1982,,76,PK,,3175937691,1.7,39272
EO1387927,Interrogation The Kuulustelu,MOVIE,1985,,190,MG,,7970780520,5,4837
NI5244713,Happiness Is in the Field Bonheur est dans le prA C Le,MOVIE,2017,,157,PG,,6337938992,4.6,83
BK7595329,President s Man A Line in the Sand The,MOVIE,2017,,169,US,,4688547773,3.3,33
YT1949371,Isabelle au bois dormant,MOVIE,1960,PG-13,69,CA,,479869324,2.8,79378
GQ2551673,Mr. 3000,MOVIE,1992,G,122,CA,,9697391920,3.1,21418
OE0153658,Human Comedy The,MOVIE,1983,,173,ID,,1290346313,0.3,6096
CY5169098,Superdad,MOVIE,2001,,100,AU,,908290608,7,998
SA9774434,Ski Patrol,MOVIE,2022,,187,CA,,5943036601,8.5,6443
AI5683663,Resurrected The,MOVIE,2008,,159,KE,,8705481325,1.7,98
UH5939658,Dancer Texas Pop. 81,MOVIE,1992,,105,SB,,2337518302,5.5,2602
TC2678031,Last Time I Saw Archie The,MOVIE,2002,,93,ML,,692216693,1.5,30
AV3403926,Trouble Every Day,MOVIE,2022,,144,US,,3955948994,5.6,8
UX3174509,Lost Highway,MOVIE,2020,,81,TR,,1042409315,4.1,3
YK3594854,Decoys,MOVIE,1990,,141,IN,,9737231120,4,2577
VR9284363,Humpday,SHOW,1972,TV-MA,137,HN,5,8272559358,2,1
GM2107607,Mighty The,SHOW,2010,TV-MA,156,FR,11,9296926459,5.9,412
HT2447667,Breaks The,SHOW,1982,TV-MA,131,RU,2,1750901897,7.5,62
XK4570837,Weight of the Nation,SHOW,1974,TV-14,198,BR,6,2886049468,9.3,830
KY7082435,Half Moon a.k.a. Niwemang,SHOW,2005,TV-14,153,MY,18,3388969221,6.4,16
IK1444179,Point Men The,SHOW,1966,TV-PG,138,EG,12,5829511878,6.8,2098
KV7274826,Susan Slept Here,SHOW,1984,TV-14,188,ID,15,9194530920,3.8,0
QV6195161,Hoot,SHOW,1975,TV-14,130,CA,19,4653933022,9.1,1340
RD8548618,Noroi The Curse ,SHOW,1990,TV-PG,189,FR,6,7674288374,3.7,7062
OR6056219,My Boyfriends Dogs,SHOW,1964,TV-PG,102,NA,15,602429358,3.5,883
BZ6946047,Wendell Baker Story The,SHOW,2004,TV-14,149,CA,15,7236702862,0.8,7310
MS3702979,Perez.,MOVIE,1978,R,66,BR,,1345404107,4.4,431
YX6868769,Don t Tell Anyone No se lo digas a nadie,MOVIE,2019,PG-13,87,PY,,3334131564,0.3,57
GY3940672,Monitors The,SHOW,1962,TV-MA,130,CA,5,4137263612,3.8,9
XM6124261,Doomed to Die,SHOW,1962,TV-14,152,SD,5,612686779,4.6,82578
TF0659693,Darjeeling Limited The,SHOW,2013,TV-14,109,ET,7,6542980245,7.3,84781
MN8527285,3 Blind Mice,SHOW,1975,TV-Y7,85,US,3,1224453050,7.5,249
SC5789054,Xuxa in Crystal Moon,MOVIE,1968,PG-13,178,CN,,3312623545,0.8,42
OA6231972,Man on a Ledge,MOVIE,2002,,163,SN,,6964860673,2.3,18174
VT6446541,Soul Plane,MOVIE,1962,PG,131,GA,,959344233,5.4,487
YZ7597276,Another Cinderella Story,SHOW,1977,TV-14,113,CA,5,7888283772,7,12
EN1348847,Cobra,MOVIE,2012,,150,TW,,9416226858,2.7,1
NG2156098,Dhoom,MOVIE,2020,R,196,PG,,9438938443,6.3,95
IQ3636860,Le crA Cateur ,SHOW,1969,TV-Y7,64,CN,9,9837422262,4.6,57
GX2389642,Knight s Tale A,SHOW,2002,TV-Y7,190,CG,10,4528129221,5.8,801
HI0922738,I m King Kong The Exploits of Merian C. Cooper ,MOVIE,1974,R,81,MX,,4371201776,6.4,92436
UO9363061,Scarlet Street,SHOW,1973,TV-Y7,85,CA,3,8788485722,3,358
UG0683100,Chef in Love A Shekvarebuli kulinaris ataserti retsepti,SHOW,1986,TV-14,145,ID,1,8224708837,3.2,214
LV8964652,Conviction,MOVIE,1961,PG-13,105,BR,,3794357604,7,988
WV4701462,Samson and Delilah,SHOW,2008,TV-14,165,US,8,2816167585,7.6,488
NF4150957,Afghan Star,MOVIE,1980,PG,167,DE,,5411293529,6.3,183
BH5594892,Off and Running ,MOVIE,2001,R,130,US,,5726074548,9.1,1737
RW6110338,Aria,MOVIE,1986,R,166,US,,968493394,7,182
US4808831,Return of Swamp Thing The,MOVIE,1966,PG-13,105,AF,,4304509799,4.4,256
XR9222989,Kitchen Stories Salmer fra kjA kkenet,MOVIE,1998,R,182,MR,,291142656,6.6,8523
ZH4130289,Abols Upe,SHOW,1986,TV-PG,170,GB,6,9684123655,0.2,56
DK4783898,Megacities,MOVIE,1972,R,195,US,,565008056,5.5,11497
MY2834215,First Love,MOVIE,2005,R,62,US,,9053298932,7.9,892
XH9255669,Out of the Past,MOVIE,1983,PG-13,174,ID,,7431615167,7.1,21
RQ3340000,Miracle of Marcelino The Marcelino pan y vino,MOVIE,1972,PG-13,73,TO,,2436027684,3.4,3417
DE6838611,Werner Das muss kesseln,MOVIE,1967,R,117,ID,,2425132996,7.4,27
CQ6539284,Sweeney Todd The Demon Barber of Fleet Street,SHOW,1999,TV-14,147,PH,24,3681211922,7.9,128
ON3436458,Kiss for Corliss A Almost a Bride,MOVIE,1994,PG-13,64,IR,,8417173188,1.2,72833
NW4712009,Pandora s Promise,MOVIE,1972,R,166,FR,,6849226800,9.1,5
QN0402111,Horton Hears a Who,MOVIE,2006,R,190,US,,5984174421,4.2,688
ME2514242,What Happened Miss Simone?,SHOW,2009,TV-14,61,SD,3,8169734665,5.8,26
IB1289212,The SevenUps,MOVIE,1963,PG-13,96,US,,6247783329,9.4,90
ER3027061,The King and Four Queens,MOVIE,1974,PG-13,147,AU,,7596585507,7.4,4
AO1793369,Lion King The,MOVIE,1971,PG-13,93,ES,,7251104172,1.3,7
WF0391496,Small Town Gay Bar,MOVIE,2007,PG-13,137,BB,,8589001083,3.7,317
NL0164303,Grace,MOVIE,1972,PG-13,142,US,,9337993481,8.1,0
QU3578311,Adanggaman,SHOW,2015,TV-MA,76,AU,12,2510935356,2.3,98
QD2033121,Shock Waves,MOVIE,1971,R,120,IT,,7664105218,5.1,45
TR4264693,Ship of Fools,MOVIE,1979,PG-13,185,VN,,7119444735,7.2,5
JU8855131,Homeboy,MOVIE,1988,R,92,NL,,9174171410,9.7,976
VB1699152,Lover s Knot,MOVIE,2012,R,151,LT,,5133212356,2.1,403
EX3343321,MisA Crables Les,MOVIE,1967,PG-13,118,GR,,5736373572,2.9,931
KY8889159,Two Deaths,SHOW,1974,TV-MA,89,AU,4,1868117529,1.4,3
FS0643207,James and the Giant Peach,MOVIE,1973,R,70,US,,7741779346,4.4,9
BP3630829,Always,SHOW,2011,TV-G,105,CH,6,7149159567,7.5,92997
FC6220469,Whale The,SHOW,2005,TV-G,194,TH,4,9366362761,7.5,3412
SY9088631,Salem s Lot,MOVIE,2021,R,113,MX,,2226525963,8.3,4032
UH9149996,Son of Batman,MOVIE,1983,R,144,RU,,2263850546,0.3,31
SA9725569,Lord of Illusions,SHOW,1983,TV-PG,120,US,5,5296190262,8.1,50786
NC8168945,Tall Man The,MOVIE,1995,R,148,US,,7668557032,8.8,41496
